"Unnamed: 0","restaurant name","restaurant type","rate (out of 5)","num of ratings","avg cost (two people)","online_order","table booking","cuisines type","","area","local address"
"3759","Malnad Blossom, Coffee & Cream","Cafe","3.8","33","300","No","No","Cafe","3759","Jayanagar","JP Nagar"
"3760","Malnad Military Hotel","Casual Dining","3.8","40","500","No","No","South Indian, Chinese","3760","Byresandra,Tavarekere,Madiwala","Koramangala 7th Block"
"3761","Malties - Radisson Blu","Lounge","4.3","53","4500","No","No","Continental, Fast Food","3761","Marathahalli","Marathahalli"
"3762","Mama Mia!","Dessert Parlor","3.9","111","400","Yes","No","Desserts, Cafe","3762","Lavelle Road","Seshadripuram"
"3763","Mama Mys Cafe","Quick Bites","0","40","300","No","No","Fast Food","3763","Basavanagudi","Basavanagudi"
"3764","Mamagoto","Casual Dining","4.4","2558","1600","Yes","Yes","Asian, Thai, Chinese, BBQ, Momos","3764","Indiranagar","Indiranagar"
"3765","Mamaji's","Casual Dining","2.8","40","600","Yes","No","North Indian","3765","Kalyan Nagar","HBR Layout"
"3766","Mamatha Restaurant","Casual Dining","2.6","74","700","Yes","No","Biryani, Hyderabadi, North Indian","3766","HSR","Bommanahalli"
"3767","Mambos Cafe","Cafe","3.9","62","1100","No","No","Cafe, Continental, Beverages, Fast Food","3767","Frazer Town","Frazer Town"
"3768","Mamma Mexicana","Casual Dining","2.2","406","1000","Yes","Yes","Mexican","3768","Brigade Road","MG Road"
"3769","Manasa Andhra Style Multi Cuisine Restaurant","Casual Dining","3.6","70","800","No","No","North Indian, South Indian, Chinese, Andhra, Biryani","3769","Electronic City","Electronic City"
"3770","Manasa Cool Cafe","Cafe","3.2","7","300","Yes","No","Fast Food, Juices, Cafe, Desserts","3770","Electronic City","Electronic City"
"3771","Manasa Fishland","Casual Dining","4.1","201","650","Yes","No","Seafood, South Indian, North Indian","3771","Kalyan Nagar","Kalyan Nagar"
"3772","Manbhavan Premium Thali Restaurant","Casual Dining","4","485","1000","Yes","No","Hyderabadi, Gujarati, Maharashtrian","3772","Whitefield","Whitefield"
"3773","Manchow","Casual Dining","3.8","157","600","Yes","Yes","Chinese, Asian, Momos","3773","Bellandur","Bellandur"
"3774","Manchu Cafe","Quick Bites","3.7","24","300","Yes","No","Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan","3774","Koramangala 7th Block","BTM"
"3775","Mandara - Imera Spa & Resort","Casual Dining","3.5","115","1200","No","No","North Indian, South Indian, Chinese","3775","Sarjapur Road","Sarjapur Road"
"3776","Mandarin Box","Quick Bites","3.9","80","500","No","No","Chinese","3776","Brigade Road","Church Street"
"3777","Mandi","Casual Dining","3.8","560","800","Yes","Yes","North Indian","3777","Bannerghatta Road","JP Nagar"
"3778","Mandya Gowdru Donne Biriyani","Quick Bites","3.8","281","350","Yes","No","Biryani, South Indian","3778","Bellandur","HSR"
"3779","Mandya Gowdru Hotel","Quick Bites","3.3","5","200","No","No","South Indian","3779","Brookefield","Brookefield"
"3780","Mandya Naati Style Hotel","Quick Bites","3.3","4","300","No","No","South Indian","3780","Marathahalli","Marathahalli"
"3781","Mandya Umesh Nati Style Hotel","Quick Bites","3.4","7","350","No","No","South Indian","3781","Marathahalli","Marathahalli"
"3782","Mane Holige","Sweet Shop, Quick Bites","4.3","141","200","No","No","Mithai, South Indian","3782","Basavanagudi","Jayanagar"
"3783","Mane Thindi","Quick Bites","3.7","130","200","No","No","South Indian","3783","Banashankari","Banashankari"
"3784","Mangala Hotel","Quick Bites","2.8","40","100","No","No","South Indian","3784","Bellandur","Sarjapur Road"
"3785","Mangalore Kitchen","Quick Bites","3.8","42","500","Yes","No","North Indian, Arabian, Chinese","3785","Rajajinagar","Vijay Nagar"
"3786","Mangalore Lunch Home","Quick Bites","3.1","33","300","Yes","No","Mangalorean, Seafood","3786","Kalyan Nagar","HBR Layout"
"3787","Mangalore Pearl","Casual Dining","3.8","242","650","Yes","No","Mangalorean, Seafood, Chinese, Biryani","3787","Banashankari","Jayanagar"
"3788","Mangalore pearl - Seafood Restaurant","Casual Dining","4.3","94","550","Yes","No","Mangalorean, Seafood","3788","Brigade Road","Ulsoor"
"3789","Mango Greens","Casual Dining","3.9","48","900","No","Yes","North Indian, Continental, Chinese","3789","Bannerghatta Road","JP Nagar"
"3790","Mango Tree Grand","Quick Bites","3.8","112","700","Yes","No","Andhra, North Indian","3790","Bellandur","Bellandur"
"3791","Mango Tree- The Beer Garden","Casual Dining","4.1","1320","1200","Yes","Yes","North Indian, Chinese, Continental","3791","Bannerghatta Road","JP Nagar"
"3792","Manifest Cafe","Casual Dining","3.5","10","500","No","No","South Indian, North Indian, Chinese","3792","Banashankari","Banashankari"
"3793","Mani's Dum Biryani","Casual Dining","3.5","119","750","Yes","No","Biryani, Kebab","3793","Kalyan Nagar","Kalyan Nagar"
"3794","Manjit Da Dhaba","Quick Bites","4.3","783","300","Yes","No","North Indian","3794","Brigade Road","Frazer Town"
"3795","Manju's Kitchen","Quick Bites","3.3","13","200","Yes","No","Biryani","3795","Indiranagar","Indiranagar"
"3796","Manjushree Upahara","Quick Bites","3.8","31","150","Yes","No","South Indian","3796","Bannerghatta Road","Bannerghatta Road"
